instancia, m, n, t, d, E_profit, V_profit, E_proftible_cost, FKP
mm-5-25-1762875.cdop, 5, 25, 440, 880, 18678, 1281, 12501.700000000004, 3071.05153617443
mm-5-40-1762875.cdop, 5, 40, 440, 880, 40732, 2088, 28556.860000000008, 3366.423098913665
mm-25-25-1110588.cdop, 25, 25, 420, 840, 55432, 1404, 36721.7, 3947.784963621666
mm-5-25-1767920.cdop, 5, 25, 410, 820, 19116, 1399, 12311.220000000016, 2990.7668393782383
mm-25-25-1917698.cdop, 25, 25, 450, 900, 52184, 1027, 35790.89999999997, 3731.7133333333336
mm-10-40-1917698.cdop, 10, 40, 440, 880, 51516, 1844, 33709.53999999995, 3971.981699346405
mm-10-10-1767920.cdop, 10, 10, 385, 770, 8124, 663, 4715.46, 2184.6266866566716
mm-15-25-1110588.cdop, 15, 25, 425, 850, 34452, 1385, 22642.019999999982, 4014.3519999999985
mm-15-40-1762875.cdop, 15, 40, 440, 880, 59324, 2139, 45936.85999999989, 3710.4170984455955
mm-15-40-1891798.cdop, 15, 40, 450, 900, 58470, 2018, 43582.71999999997, 3794.152727272728
mm-5-10-1762875.cdop, 5, 10, 415, 830, 3370, 561, 3026.9999999999995, 1152.8264421886604
mm-25-25-1891798.cdop, 25, 25, 450, 900, 49092, 1314, 36417.79999999995, 3887.7862694300516
mm-20-10-1110588.cdop, 20, 10, 425, 850, 19222, 539, 14612.499999999985, 2384.739223218096
mm-10-25-1767920.cdop, 10, 25, 440, 880, 25040, 1351, 16789.520000000004, 3408.6735751295337
mm-15-10-1891798.cdop, 15, 10, 440, 880, 14868, 564, 10400.960000000012, 2661.8613333333337
mm-20-25-1891798.cdop, 20, 25, 450, 900, 40030, 1384, 30001.78000000003, 3478.666666666666
mm-10-25-1891798.cdop, 10, 25, 445, 890, 25736, 1557, 20128.16000000003, 3411.232774674115
mm-20-10-1762875.cdop, 20, 10, 435, 870, 18628, 475, 13659.080000000005, 2769.403332041844
mm-5-10-1767920.cdop, 5, 10, 365, 730, 5104, 615, 3268.8200000000015, 1673.255605381166
mm-15-40-1767920.cdop, 15, 40, 450, 900, 61026, 1915, 46132.32000000007, 4451.333333333334
mm-15-40-1110588.cdop, 15, 40, 425, 850, 66810, 2224, 44282.68000000006, 4555.803143093465
mm-5-40-1110588.cdop, 5, 40, 425, 850, 44930, 1975, 28448.400000000045, 3835.781637717122
mm-15-25-1917698.cdop, 15, 25, 450, 900, 33986, 1192, 22890.360000000008, 3415.888215488215
mm-25-25-1767920.cdop, 25, 25, 445, 890, 48828, 1220, 35034.74000000001, 3994.6263736263736
mm-10-25-1110588.cdop, 10, 25, 425, 850, 25898, 1170, 16850.140000000014, 3333.0367793240557
mm-5-10-1891798.cdop, 5, 10, 390, 780, 6000, 584, 3974.879999999999, 1702.8266666666666
mm-10-40-1110588.cdop, 10, 40, 425, 850, 55586, 2012, 35851.59999999996, 3956.4919886899143
mm-25-10-1110588.cdop, 25, 10, 420, 840, 25794, 531, 17304.480000000003, 3011.6725490196072
mm-10-25-1762875.cdop, 10, 25, 440, 880, 25124, 1273, 16973.640000000025, 3094.8187535734696
mm-15-25-1891798.cdop, 15, 25, 450, 900, 32424, 1313, 24489.76, 3222.8635897435897
mm-10-10-1891798.cdop, 10, 10, 435, 870, 9994, 710, 7367.240000000002, 1736.3840354767183
mm-10-10-1762875.cdop, 10, 10, 435, 870, 7058, 354, 5048.299999999999, 1678.9359543436908
